jp	ko
「護り火」の火種は、神聖区にあるんだが	「수호의 불」불씨는 신성구에
「護り火」を信じてるんだろ	「수호의 불」을 믿고 있는 거지
「重力の道」の彼方に連れて行かれるぞ	「중력의 길」저편으로 끌려가게 된다
「重力の道」の彼方に運ばれるらしい	「중력의 길」저편으로 옮겨진 듯
」さ	」야
」という概念が\n存在する。	」라는 개념이\n존재한다.
」に\n対応する。	」에\n대응한다.
『…1枚のメモリープレートに封印し…』	『…메모리 플레이트에 봉인하고…』
『…<03><05>Dユニット<03>	『…<03><05>D유닛<03>
『…<03>\nライト・ウィング<03>	『…<03>\n라이트 윙<03>
『…<03>\nライト・ウイング<03>	『…<03>\n라이트 윙<03>
『……願わくば後世の人間が…』	『……바라건대 후세의 인간이…』
『…あるいは我々よりも…』	『…혹은 우리보다도…』
『…しかし、それはもはや…』	『…하지만,그것은 이제…』
『…しかし我々は…』	『…하지만 우리는…』
『…それぞれを…<03>\n12個<03>	『…각각을…<03>\n12개<03>
『…と言えるものだったかもしれない…』	『…라고 할 수 있었을지도…』
『…もっと別の…』	『…좀 더 다른…』
『…わずかな望みを託して……』	『…한 가닥 희망을 걸고……』
『…ドラゴンというよりも…』	『…드래곤이라기보다는…』
『…ドラゴンの究極ともいうべき…』	『…드래곤의 궁극이라 할 만한…』
『…ライト・ウィングに関する…』	『…라이트 윙에 관한…』
『…ライト・ウイングに関する…』	『…라이트 윙에 관한…』
『…個体データを…』	『…개체 데이터를…』
『…地表各地にばらまいた…』	『…지표 각지에 뿌렸다…』
『…形態の開発に成功した…』	『…형태의 개발에 성공했다…』
『…我々の意志を引き維ぐことに…』	『…우리 의지를 이어받게 하는…』
『…我々の暴走と判断した当局は…』	『…우리 폭주라고 판단한 당국은…』
『…我々はついに…』	『…우리는 마침내…』
『…消去するようにとの決断を下した…』	『…소거하라는 결단을 내렸다…』
『…記録の一切を…』	『…기록의 일체를…』
『…高次の存在…』	『…고차원의 존재…』
『あの襲撃事件から3日たった』	『그 습격에서 사흘이 지났다』
『おそらくは反対派の仕業だろう』	『아마도 반대파의 소행이겠지』
『おまえ』の望んでた場所だ…	『너』가 바라던 곳이다…
『このドローンをアゼルと名づける』	『이 드론을 아젤이라 이름 붙인다』
『これならば、目標値を越えるはずだ』	『이거라면 목표치를 넘을 것이다』
『だが、このままでは重大な欠陥がある』	『이대론 중대한 결함이 있다』
『ドローンF07…思考指数98…失敗』	『드론 F07…사고지수 98…실패』
『ドローンF16…思考指数94…失敗』	『드론 F16…사고지수 94…실패』
『今回の実験体はうまく行っている』	『이번 실험체는 순조롭다』
『例の問題も寿命の操作で解決ずみだ』	『그 문제도 수명 조작으로 해결』
『例の機構の組み込み認可が下りる』	『그 기구의 조립 인가가 떨어졌다』
『塔』…？	『탑』…?
『塔』と呼ばれる遣跡の総\n旧世紀の記録機械で描かれたもの	『탑』이라 불리는 유적 그림\n구세기 기록기계로 그려진 것
『塔』に秘められた力に比べれば	『탑』에 숨겨진 힘에 비하면
『塔』に関する\n帝国アカデミーの実験報告書	『탑』에 관한 제국\n아카데미의 실험 보고서
『塔』の下部格納層を\n守っていたガーディアン。\n塔のあちこちに配置された\n下級ガーディアンの\n上位種として生み出された\nらしい。	『탑』하부 격납층을\n지키던 가디언.\n탑 곳곳에 배치된\n하급 가디언의\n상위종으로 만들어졌다\n한다.
『塔』の中で戦った。\n侵入者を阻むしかけが作動\nすると襲ってくる、下級\nガーディアン。\n強力な攻撃を一度だけ\n行って、すぐに逃げ出して\nしまう。体力が残り少ない\n時には危険な敵だ。	『탑』안에서 싸웠다.\n침입자를 막는 장치가\n작동하면 덮쳐 오는\n하급 가디언.\n강력한 공격을 한 번만\n하고 바로 도망친다.\n체력이 얼마 없을 때는\n위험한 적이다.
『塔』の中で戦った。\n侵入者を阻むしかけが作動\nすると襲ってくる、下級\nガーディアン。\n正面に放つ光の矢をさける\nために移動すると、それに\n反応して直接攻撃を行う。	『탑』안에서 싸웠다.\n침입자를 막는 장치가\n작동하면 덮쳐 오는\n하급 가디언.\n정면에 쏘는 빛의\n화살을 피해 움직이면\n반응해 직접 공격한다.
『塔』の中部層を守って\nいたガーディアン。2体が\n一緒になって襲ってきた。\nというより、2体まとめて\nひとつの個体だったのかも\nしれない。	『탑』의 중간층을\n지키고 있던\n가디언.두 마리가\n함께\n덤벼들었다.라기보다,두\n마리를 합쳐 하나의\n개체였는지도 모른다.
『塔』の力を手に入れるために	『탑』의 힘을 손에 넣기 위해
『塔』の機能に関する\nシーカーの研究書	『탑』의 기능에\n관한 시커의 연구서
『塔』の総	『탑』의 총
『塔』の話はできねえな！	『탑』얘기는 할 수 없다고!
『塔』を探して、うろうろしてるそうだぜ	『탑』을 찾아 어슬렁거린다더군
『塔』発見〜引き上げまで	『탑』발견부터 인양까지
『塔』起動実験報告書	『탑』기동 실험 보고서
『尋われたドローンはまだ発見されない』	『쫓기던 드론은 아직 미발견이다』
『彼女はまだインプリントが終ってない』	『그녀는 아직 임프린트가 안 됐다』
『災いの種にならなければいいのだが…』	『화근이 되지 않으면 좋겠는데…』
『絶対の客人』とでも訳せばいいのかな	『절대의 손님』이라고 번역하면 될까
『絶対の客人』とは、	『절대의 손님』이란,
『絶対の客人』も！	『절대의 손님』도!
『絶対の客人』よ…	『절대의 손님』이여…
』…君だけなのだ	』…너뿐이다
』よ	』야
あ…	아…
あ…そうか、あんたらは行けないんだっけ	아…그렇지,당신들은 갈 수 없었지
あ、いや、ないならいい、先を急ごう	아,아니,없으면 됐어,서두르자
あ、しまった！	아,이런!
あ、そうか！	아,그렇구나!
あ、そうだ、伝言もあったんだっけ	아,맞다,전할 말도 있었지
あ、それから例の約束、忘れんでくれよ	아,그리고 그 약속,잊지 말라고
あ、ちょっと待ってくれ…	아,잠깐 기다려…
あ、どこにあるのか調べる方が先だな…	어디 있는지 알아보는 게 먼저군…
あ、エッジ！	아,엣지!
あ、悪い悪い	아,미안 미안
あ、父ちゃんにはないしょだよ	아,아빠한테는 비밀이야
ああ…お孫さんを残してね	아아…손주를 남기고
ああ…だけど、水脈への入り□が	아아…근데,수맥으로 들어가는 입구가
ああ、あんたか	아아,당신이었나
ああ、ご苦労さん	아아,수고했어
ああ、そうだけど	아아,그렇긴 한데
ああ、やっと調べがついたんだ	아아,드디어 조사가 끝났어
ああ、よく来てくれた	아아,잘 와줬어
ああ、よろしく…	아아,잘 부탁해…
ああ、ラドガムの爺さんと組んでたんだ	아아,라드검 영감이랑 짝을 이뤘었지
ああ、一杯やろうってんだな	아아,한잔하자는 거군
ああ、何十年も前の話だがな	아아,벌써 수십 년 전 얘기지만
ああ、君、ちょっと頼まれてくれないか	아아,자네,부탁 좀 들어주지 않겠나
ああ、君か…	아아,자네였나…
ああ、大丈夫	아아,괜찮아
ああ、悪い夢でも見たのか	아아,나쁜 꿈이라도 꿨나
ああ、数千年前から	아아,수천 년 전부터
ああいった、攻性生物にやられた街や村の	저런,공성생물에 당한 마을이나 도시
ああやって侵入者の侵攻を阻むと同時に、	저렇게 침입자의 침공을 막으며,
あいかわらず発掘じょうは、ガラクタ\nばかりほりおこしている。\n\nつうしんきで やつと話しをした。\nてい国のがっこうにはいるためには\nそれなりにたくさんのお金がいる\nらしい。	여전히 발굴장에서는 쓸모없는\n물건만 파내고 있다.\n\n통신기로 그 녀석과 이야기했다.\n제국의 학교에 들어가려면\n그만큼 많은 돈이 필요하다고\n한다.
あいつ、俺の仕事を道楽だと思ってやがる	그놈,내 일을 취미라고 생각해
あいつ、行っちまったみたいだな	그 녀석,가버린 듯하군
あいつから話は聞いてるよ	그 녀석한테 이야기는 들었어
あいつが教会に用事とはね	그놈이 교회에 볼일이라니
あいつと、なんかあったんだろ？	그 녀석이랑 무슨 일 있었지?
あいつなら、いろいろ知ってると思うぜ	그놈이라면 이것저것 알 거야
あいつに代わって礼を言うよ	그 녀석 대신 고맙다고 할게
あいつの恩人なら、俺にとっても恩人だ	그놈의 은인이면 내게도 은인이야
あいつの親父だよ	그 녀석의 아버지야
あいつは！！	그 녀석은!!
あいつら、あそこで何やってるんだ？	저 녀석들,저기서 뭘 하는 거야?
あいつら、砂漠を周回する習性があってな	저놈들,사막을 도는 습성이 있어서
あいつらがまた来たと思ったんだよ	그놈들이 또 온 줄 알았어
あいつらについて行くことにしたよ	저 녀석들을 따라가기로 했어
あいつらも、旧世紀文明の残り物だ	저 녀석들도 구세기 문명의 잔재야
あえてあなたを選んだの…	굳이 당신을 선택한 거야…
あきらめていないようだが…	포기하지 않은 것 같은데…
あそこで繁殖しているようだな	저기서 번식하는 듯하군
あそこの接続部分を切りかえて	저기 접속 부분을 전환해서
あそこの竜巻は、その船が起こしてるのさ	저 회오리는 그 배가 일으킨 거야
あそこは退屈だったけど、	저긴 지루했지만,
あたし、ほんとは畑仕事のほうが好きなの	나,사실은 밭일이 더 좋아
あたし、ヴェラトの村で生まれたのよ	나,베라토 마을에서 태어났어
あたしが恐いのはね	내가 무서운 건
あたしはここで子供達の無事を祈ってるよ	여기서 아이들의 무사를 빌고 있어
あたしも困ってるんだよ	나도 곤란하다니까
あたしゃ、どうもあの人は信用できないよ	나는 아무래도 그 사람은 못 믿겠어
あたし達、どうなるんだろうねえ	우린 어떻게 되려나
あたし達、干からびちまうからね	우린 말라 죽고 말 테니까
あたし達が、なんであの子を守ったのか…	우리가 왜 그 애를 지켰는지…
あたし達のことは、もうほっといておくれ	우리 일은 이제 내버려 둬
あたし達の目的は聞いたんだろ？	우리 목적은 들었지?
あっ、新しいハンターだね！	아,새로운 헌터구나!
あったはずなんだが…	분명 있었을 텐데…
あっちに行ってろ！	저쪽으로 가 있어!
あっち行っとくれ	저쪽으로 가줘
あといくつか、下の層にも同じ物があるわ	몇 개 더,아래층에도 같은 게 있어
あとで様子を見に行ってやりな	나중에 상태 보러 가 봐
あとは<03>\nローター・パイル<03>	나머지는<03>\n로터 파일<03>
あとは…儀が	나머지는…기가
あとはこれが上へ運んでくれる	나머지는 이게 위로 옮겨 줄 거야
あとは地下をまっすぐ飛ぶだけだ	나머진 지하를 곧장 날면 돼
あとは客足が戻れば言うことなしね	손님만 돌아오면 더 바랄 게 없네
あとは彼女が…	나머지는 그녀가…
あとひとり？	이제 한 명?
あなた、よそ者ね…	당신,외지인이군…
あなたが、薬を取ってきてくれるなんて…	당신이 약을 구해다 주시다니…
